광역자치단체명,선거구,선거구 설명,기호,정당명,후보자명(한글),후보자명(한자),득표수,득표율,순위,당선여부,중도탈락여부,전체유권자수,전체투표수,전체무효표수
경기도,김포시 갑,"김포본동, 사우동, 장기동, 풍무동, 고촌읍",7,국가혁명배당금당,조성진,趙成眞,584,0.52,4.0,False,False,165807,111816,987
경기도,김포시 갑,"김포본동, 사우동, 장기동, 풍무동, 고촌읍",8,무소속,유영록,劉永錄,8972,8.09,3.0,False,False,165807,111816,987
경기도,김포시 을,"장기본동, 구래동, 마산동, 운양동, 통진읍, 양촌읍, 대곶면, 월곶면, 하성면",1,더불어민주당,박상혁,朴商赫,63193,53.83,1.0,True,False,187295,118595,1206
경기도,김포시 을,"장기본동, 구래동, 마산동, 운양동, 통진읍, 양촌읍, 대곶면, 월곶면, 하성면",2,미래통합당,홍철호,洪哲鎬,52200,44.46,2.0,False,False,187295,118595,1206
경기도,김포시 을,"장기본동, 구래동, 마산동, 운양동, 통진읍, 양촌읍, 대곶면, 월곶면, 하성면",3,민생당,박채순,朴采洵,1131,0.96,3.0,False,False,187295,118595,1206
경기도,김포시 을,"장기본동, 구래동, 마산동, 운양동, 통진읍, 양촌읍, 대곶면, 월곶면, 하성면",7,국가혁명배당금당,이상훈,李尙勳,865,0.73,4.0,False,False,187295,118595,1206
경기도,화성시 갑,"새솔동, 우정읍, 향남읍, 남양읍, 봉담읍 [29] ,매송면, 비봉면, 마도면, 송산면, 서신면, 팔탄면, 장안면, 양감면, 정남면",1,더불어민주당,송옥주,宋玉珠,58689,49.65,1.0,True,False,199428,119449,1251
경기도,화성시 갑,"새솔동, 우정읍, 향남읍, 남양읍, 봉담읍 [29] ,매송면, 비봉면, 마도면, 송산면, 서신면, 팔탄면, 장안면, 양감면, 정남면",2,미래통합당,최영근,崔永根,52291,44.24,2.0,False,False,199428,119449,1251
경기도,화성시 갑,"새솔동, 우정읍, 향남읍, 남양읍, 봉담읍 [29] ,매송면, 비봉면, 마도면, 송산면, 서신면, 팔탄면, 장안면, 양감면, 정남면",7,민중당,홍성규,洪性奎,1915,1.62,4.0,False,False,199428,119449,1251
경기도,화성시 갑,"새솔동, 우정읍, 향남읍, 남양읍, 봉담읍 [29] ,매송면, 비봉면, 마도면, 송산면, 서신면, 팔탄면, 장안면, 양감면, 정남면",8,국가혁명배당금당,최철준,崔哲準,800,0.67,5.0,False,False,199428,119449,1251
경기도,화성시 갑,"새솔동, 우정읍, 향남읍, 남양읍, 봉담읍 [29] ,매송면, 비봉면, 마도면, 송산면, 서신면, 팔탄면, 장안면, 양감면, 정남면",9,무소속,김용,金庸,4503,3.8,3.0,False,False,199428,119449,1251
경기도,화성시 을,"동탄1동, 동탄2동, 동탄4동, 동탄5동, 동탄6동, 동탄7동, 동탄8동",1,더불어민주당,이원욱,李元旭,98612,64.53,1.0,True,False,224298,154360,1555
경기도,화성시 을,"동탄1동, 동탄2동, 동탄4동, 동탄5동, 동탄6동, 동탄7동, 동탄8동",2,미래통합당,임명배,林明培,52802,34.55,2.0,False,False,224298,154360,1555
경기도,화성시 을,"동탄1동, 동탄2동, 동탄4동, 동탄5동, 동탄6동, 동탄7동, 동탄8동",7,국가혁명배당금당,이경우,李慶雨,1391,0.91,3.0,False,False,224298,154360,1555
